uniprot	pca0	pca1	pca2	pca3	pca4	pca5
SAMTR	2.330835532857718	1.4397398565277943	1.7967790847305996	1.624611869248796	2.2530184291872537	2.3705262495772677
SCN1A	0.546636818698307	2.919976904899944	2.7325287407712873	2.7435090695869406	2.0733648301167293	1.9247543664030367
SERP1	1.061404634420768	2.166527794043176	2.565021689747798	1.0612734722953507	2.177618225283402	2.1940109032821122
SBNO1	2.6341323962465952	1.4659177347150494	2.511734515733134	2.178964189379752	1.8646469898711895	2.4200959629103225
SEM3E	1.5173297407833992	1.565133516944016	0.7600087882766164	2.9174077528546993	1.7655529630552877	2.3857925670781217
SF3A2	3.2831621176331343	2.982610653144654	2.058066555337512	2.3827810511075374	2.8917606400191	2.402368848528061
SEPT8	2.476314232222307	1.4807937668813347	3.4630434998463935	2.650718398115205	2.398231598750817	1.7538493878211194
SEP12	2.829321041984278	1.5754738737489737	2.5045463655036277	2.3113166933014746	2.2679018903698664	1.689226910329554
SPAG4	1.7029148853521126	2.207668364734995	2.9978534715405667	1.6288630763993561	2.2001753920570857	1.109170764911169
SNCAP	2.704181997309226	1.705223216562881	2.096805200847297	2.28409837356143	2.4165098638349356	1.2543492322567018
SNX25	2.0605429580269394	1.716777742907166	2.7185023475781027	1.9294165335648408	2.0735973702094945	2.1000515821644643
SNP47	2.191048828539567	1.7386951083959894	2.286691533600078	2.090185384901144	2.6812702965477007	1.0270913587395099
SNX5	2.0588718948999967	1.8030486924912452	3.3862778398776436	2.5269989497751917	2.1984595084697602	1.624703537274486
SNPC1	3.2147553774797073	2.708605292350754	1.9369050167708104	1.7386539395502394	1.0156276074849606	1.987963741051711
SO1B7	0.8583570102445139	2.4543625047396493	2.7555829882296012	2.072390458897599	1.8686177472324692	2.0649309812919103
SOCS1	2.593035460735711	1.7336367209535104	1.7383004647608364	1.5904849931506413	1.7864206617479135	2.0246279753764327
SL9B1	0.8671981313642294	2.2828595153637496	2.706627537920579	1.3247299087122433	2.2174936327800183	1.7496246968039297
SIAT9	0.646861290662115	2.350403314583863	2.0849014018296153	1.8249231518487867	2.077844075542317	2.4313830813917074
SPNDC	3.018072125732349	2.480171030933105	2.166315728199585	2.034022447083796	1.1100982802003734	2.3771550288848884
SMCA1	3.4299189297917407	2.972034245911901	2.3144570384084724	2.5239276129361814	1.331921521350928	2.357901993608179
SGK1	2.2159718507189816	2.319702700311372	3.308205943638464	2.954832781796301	2.035353764125799	2.383604887556264
SIX6	2.888494906135864	2.142501677020806	2.2414500421225574	2.096188762591939	1.4960941806825798	2.3901392132696144
SHC4	1.8391178649376503	1.9042238001860017	2.61086939757275	2.094979191690193	2.017302745622916	1.9642812514600068
SIR4	2.5712366994961764	2.034429900876042	1.6556493428338026	1.6046300534086493	3.156100191330754	2.8473561523757764
SG1C2	2.0595062139783447	1.3506497520427874	1.1352830499315085	2.267163054107921	1.972490832706416	2.294965606909994
SMAG1	2.633602993740518	1.4192170901123702	2.6005965183865594	2.369206204150679	2.208017316305821	1.7213824309434214
SHD	2.468665832619463	1.5328832736602287	2.1979751976369166	2.015897869121466	1.938796443994643	2.3016611093660915
SHSA9	0.43282525260119264	2.4045364436054575	2.1040308316987315	2.060191768114205	2.012804867333889	1.8777817358053883
SSR1	0.2515960262904531	2.5893963262672393	2.11490848642806	2.0088296436695665	1.8527182204554826	1.8882533553248686
SSR3	0.41067124671375077	2.69913790755558	2.6068715992728544	2.425955008587599	1.6911473286464036	2.0558794552268678
STRAB	2.8213085654147267	1.5732195863855587	2.330209723516933	2.0519840645949268	2.190048691303356	1.963423365327445
TEAD2	3.05568015705641	2.5988637110624135	1.4449419039260158	1.3215285746322065	1.1771984992940392	1.8203376411497119
THBG	1.749935727061514	1.4933140048055775	0.9847578159455992	2.563735387602614	1.867683394652611	2.354056203209939
TDRD1	2.8903223168924272	2.4716492631284406	1.6310116198237514	2.128239014573943	3.681956813593008	1.6586540385804003
TEDM1	1.1677928431955076	2.119321385526728	2.3694086635460296	1.1488390880566457	2.132130851809913	2.104064881110405
TIGD4	2.7289588410253467	1.9879384743636572	1.6406160522201572	1.5036582243606338	1.6314503699500185	1.9905510976426992
TENN	1.5772840258631682	1.820516751319917	0.6357984012605333	3.165130814064585	2.0276086874143844	1.9447933012600376
TPRA1	0.8582223562786766	2.2619856382895183	2.2188834295601203	1.4454114215513387	2.027323413756108	2.1631554774103496
KCNH1	1.0006085580974624	2.890581999365311	3.189224673805784	2.2055452693854494	1.6633833314029665	2.09889637464313
KV37	1.1973522600184179	1.7938097907069985	1.3234282221983595	2.6999167419287335	1.9488667027373656	1.9893221128720922
LRRT2	0.49490434801969796	2.6726068655832744	1.9043723063019316	2.236195692010819	2.210970123589167	1.5624963296094527
MD2L2	3.125934765020313	2.236634040395123	2.0884227901423675	1.964579938943725	1.641285490454528	1.4390993839075024
MARE3	2.6743829761857816	1.3801337350342764	2.634900794254983	2.396717291329705	2.221698440815597	1.654383958665232
MILR1	0.42137358216488097	2.854167959010053	2.1715863914777436	3.0069934221809365	1.9472688001827654	1.7618587933796346
MGST3	1.1452143894786855	2.1603806665462875	2.512978193200203	1.1356947946692224	2.3089852246296054	2.420732104490938
MGME1	2.4771934189012175	1.5312615897194983	2.3324440932440282	2.20773607169346	2.0805157837297967	2.7845734947529124
MFSD8	0.7961183665695315	2.329552551311121	2.4705648031037986	1.5722346375361018	2.0748222103350766	2.404887532039615
MLX	3.3818173489394994	2.6076262964048107	2.2640781991397367	2.020243137266181	1.2209580116923195	1.5333989222511892
MFI	2.0838398874440034	1.5081568012127553	2.3773900052695423	1.752562671109041	2.4241038945047255	1.693744010130567
O5AP2	0.2515960262904531	2.5893963262672393	2.11490848642806	2.0088296436695665	1.8527182204554826	1.8882533553248686
O2T10	0.2515960262904531	2.5893963262672393	2.11490848642806	2.0088296436695665	1.8527182204554826	1.8882533553248686
OBSL1	2.501731274987436	1.7073364815486156	2.2859413795699175	2.998112717791676	2.38162373357737	1.2451210567153308
OSTM1	0.8299303504594033	2.3734851867095705	2.40158556665505	2.252844355048131	1.7871552885920337	2.409618058918212
